group,section,message_size_bytes,rtt_microseconds
dardel,Dardel 1,4,4.203183
dardel,Dardel 1,8,4.154083
dardel,Dardel 1,16,4.508881
dardel,Dardel 1,32,4.178336
dardel,Dardel 1,64,4.189856
dardel,Dardel 1,128,5.842411
dardel,Dardel 1,256,5.747157
dardel,Dardel 1,512,5.76716
dardel,Dardel 1,1024,5.946087
dardel,Dardel 1,2048,6.271918
dardel,Dardel 1,4096,6.761526
dardel,Dardel 1,8192,7.003836
dardel,Dardel 1,16384,7.893823
dardel,Dardel 1,32768,13.714076
dardel,Dardel 1,65536,15.897554
dardel,Dardel 1,131072,21.639975
dardel,Dardel 1,262144,33.128966
dardel,Dardel 1,524288,59.757531
dardel,Dardel 1,1048576,110.087198
dardel,Dardel 1,2097152,205.358038
dardel,Dardel 1,4194304,395.159736
school_cluster,School Cluster 1,4,0.699968
school_cluster,School Cluster 1,8,0.678102
school_cluster,School Cluster 1,16,0.904878
school_cluster,School Cluster 1,32,0.899877
school_cluster,School Cluster 1,64,1.043154
school_cluster,School Cluster 1,128,0.9541
school_cluster,School Cluster 1,256,1.080875
school_cluster,School Cluster 1,512,1.389944
school_cluster,School Cluster 1,1024,1.570854
school_cluster,School Cluster 1,2048,2.049346
school_cluster,School Cluster 1,4096,4.946817
school_cluster,School Cluster 1,8192,6.853843
school_cluster,School Cluster 1,16384,10.298664
school_cluster,School Cluster 1,32768,17.449091
school_cluster,School Cluster 1,65536,31.17428
school_cluster,School Cluster 1,131072,32.807596
school_cluster,School Cluster 1,262144,60.411665
school_cluster,School Cluster 1,524288,116.609156
school_cluster,School Cluster 1,1048576,223.720305
school_cluster,School Cluster 1,2097152,404.55792
school_cluster,School Cluster 1,4194304,735.59077
dardel,Dardel 2,4,4.462104
dardel,Dardel 2,8,4.467377
dardel,Dardel 2,16,4.576781
dardel,Dardel 2,32,4.5106
dardel,Dardel 2,64,4.541498
dardel,Dardel 2,128,6.164586
dardel,Dardel 2,256,6.065553
dardel,Dardel 2,512,5.993708
dardel,Dardel 2,1024,5.999625
dardel,Dardel 2,2048,6.390054
dardel,Dardel 2,4096,6.804722
dardel,Dardel 2,8192,7.095415
dardel,Dardel 2,16384,7.82534
dardel,Dardel 2,32768,13.994433
dardel,Dardel 2,65536,17.677218
dardel,Dardel 2,131072,24.929927
dardel,Dardel 2,262144,38.362802
dardel,Dardel 2,524288,62.941115
dardel,Dardel 2,1048576,107.986443
dardel,Dardel 2,2097152,200.906085
dardel,Dardel 2,4194304,385.134623
dardel,Dardel 3,4,4.125955
dardel,Dardel 3,8,4.054353
dardel,Dardel 3,16,4.186208
dardel,Dardel 3,32,4.142916
dardel,Dardel 3,64,4.159377
dardel,Dardel 3,128,5.539703
